x,y,w,h,imw,imh,filename,absolutepath
393,137,128,128,694,462,w_121_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_121_lq.jpg
458,249,128,128,694,462,w_122_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_122_lq.jpg
391,27,128,128,694,462,w_123_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_123_lq.jpg
189,272,128,128,694,462,w_124_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_124_lq.jpg
384,217,128,128,694,462,w_125_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_125_lq.jpg
111,102,128,128,694,462,w_126_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_126_lq.jpg
131,105,128,128,694,462,w_127_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_127_lq.jpg
432,286,128,128,694,462,w_128_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_128_lq.jpg
271,119,128,128,694,462,w_129_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_129_lq.jpg
151,98,128,128,694,462,w_12_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_12_lq.jpg
491,290,128,128,694,462,w_130_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_130_lq.jpg
140,274,128,128,694,462,w_131_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_131_lq.jpg
469,213,128,128,694,462,w_132_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_132_lq.jpg
552,239,128,128,694,462,w_133_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_133_lq.jpg
231,295,128,128,694,462,w_134_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_134_lq.jpg
227,39,128,128,694,462,w_135_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_135_lq.jpg
236,302,128,128,694,462,w_136_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_136_lq.jpg
247,296,128,128,694,462,w_137_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_137_lq.jpg
145,69,128,128,694,462,w_138_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_138_lq.jpg
85,300,128,128,694,462,w_139_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_139_lq.jpg
138,40,128,128,694,462,w_13_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_13_lq.jpg
189,298,128,128,694,462,w_140_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_140_lq.jpg
79,226,128,128,694,462,w_141_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_141_lq.jpg
158,54,128,128,694,462,w_142_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_142_lq.jpg
445,310,128,128,694,462,w_143_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_143_lq.jpg
337,261,128,128,694,462,w_144_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_144_lq.jpg
162,284,128,128,694,462,w_145_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_145_lq.jpg
332,34,128,128,694,462,w_146_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_146_lq.jpg
140,194,128,128,694,462,w_147_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_147_lq.jpg
255,85,128,128,694,462,w_148_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_148_lq.jpg
64,205,128,128,694,462,w_149_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_149_lq.jpg
403,309,128,128,694,462,w_14_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_14_lq.jpg
251,83,128,128,694,462,w_150_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_150_lq.jpg
250,45,128,128,694,462,w_151_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_151_lq.jpg
224,331,128,128,694,462,w_152_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_152_lq.jpg
477,321,128,128,694,462,w_153_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_153_lq.jpg
209,276,128,128,694,462,w_154_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_154_lq.jpg
475,85,128,128,694,462,w_155_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_155_lq.jpg
285,59,128,128,694,462,w_156_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_156_lq.jpg
157,48,128,128,694,462,w_157_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_157_lq.jpg
457,272,128,128,694,462,w_158_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_158_lq.jpg
266,50,128,128,694,462,w_159_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_159_lq.jpg
123,300,128,128,694,462,w_15_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_15_lq.jpg
97,300,128,128,694,462,w_160_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_160_lq.jpg
223,311,128,128,694,462,w_161_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_161_lq.jpg
431,133,128,128,694,462,w_162_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_162_lq.jpg
508,192,128,128,694,462,w_163_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_163_lq.jpg
118,301,128,128,694,462,w_164_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_164_lq.jpg
190,22,128,128,694,462,w_165_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_165_lq.jpg
133,111,128,128,694,462,w_166_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_166_lq.jpg
138,246,128,128,694,462,w_167_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_167_lq.jpg
127,183,128,128,694,462,w_168_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_168_lq.jpg
75,77,128,128,694,462,w_169_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_169_lq.jpg
70,69,128,128,694,462,w_16_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_16_lq.jpg
97,107,128,128,694,462,w_170_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_170_lq.jpg
469,222,128,128,694,462,w_171_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_171_lq.jpg
314,320,128,128,694,462,w_172_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_172_lq.jpg
164,273,128,128,694,462,w_173_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_173_lq.jpg
115,117,128,128,694,462,w_174_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_174_lq.jpg
179,97,128,128,694,462,w_175_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_175_lq.jpg
489,235,128,128,694,462,w_176_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_176_lq.jpg
304,67,128,128,694,462,w_177_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_177_lq.jpg
435,219,128,128,694,462,w_178_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_178_lq.jpg
150,282,128,128,694,462,w_179_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_179_lq.jpg
98,126,128,128,694,462,w_17_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_17_lq.jpg
104,80,128,128,694,462,w_180_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_180_lq.jpg
496,288,128,128,694,462,w_181_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_181_lq.jpg
360,130,128,128,694,462,w_182_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_182_lq.jpg
198,244,128,128,694,462,w_183_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_183_lq.jpg
171,138,128,128,694,462,w_184_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_184_lq.jpg
473,155,128,128,694,462,w_185_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_185_lq.jpg
181,294,128,128,694,462,w_186_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_186_lq.jpg
452,85,128,128,694,462,w_187_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_187_lq.jpg
426,276,128,128,694,462,w_188_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_188_lq.jpg
378,38,128,128,694,462,w_189_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_189_lq.jpg
130,190,128,128,694,462,w_18_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_18_lq.jpg
485,176,128,128,694,462,w_190_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_190_lq.jpg
98,90,128,128,694,462,w_191_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_191_lq.jpg
85,79,128,128,694,462,w_192_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_192_lq.jpg
440,241,128,128,694,462,w_193_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_193_lq.jpg
301,310,128,128,694,462,w_194_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_194_lq.jpg
412,95,128,128,694,462,w_195_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_195_lq.jpg
469,168,128,128,694,462,w_196_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_196_lq.jpg
153,52,128,128,694,462,w_197_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_197_lq.jpg
14,196,128,128,694,462,w_198_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_198_lq.jpg
131,259,128,128,694,462,w_199_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_199_lq.jpg
123,82,128,128,694,462,w_19_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_19_lq.jpg
460,79,128,128,694,462,w_1_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_1_lq.jpg
470,233,128,128,694,462,w_200_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_200_lq.jpg
229,38,128,128,694,462,w_201_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_201_lq.jpg
101,242,128,128,694,462,w_202_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_202_lq.jpg
139,174,128,128,694,462,w_203_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_203_lq.jpg
157,106,128,128,694,462,w_204_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_204_lq.jpg
442,259,128,128,694,462,w_205_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_205_lq.jpg
283,167,128,128,694,462,w_206_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_206_lq.jpg
29,52,128,128,694,462,w_207_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_207_lq.jpg
359,65,128,128,694,462,w_208_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_208_lq.jpg
283,167,128,128,694,462,w_209_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_209_lq.jpg
399,170,128,128,694,462,w_20_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_20_lq.jpg
480,171,128,128,694,462,w_210_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_210_lq.jpg
172,33,128,128,694,462,w_211_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_211_lq.jpg
116,90,128,128,694,462,w_212_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_212_lq.jpg
480,234,128,128,694,462,w_213_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_213_lq.jpg
347,71,128,128,694,462,w_214_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_214_lq.jpg
475,58,128,128,694,462,w_215_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_215_lq.jpg
105,76,128,128,694,462,w_216_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_216_lq.jpg
126,229,128,128,694,462,w_217_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_217_lq.jpg
510,46,128,128,694,462,w_218_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_218_lq.jpg
407,108,128,128,694,462,w_219_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_219_lq.jpg
112,26,128,128,694,462,w_21_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_21_lq.jpg
391,231,128,128,694,462,w_220_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_220_lq.jpg
107,283,128,128,694,462,w_221_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_221_lq.jpg
396,233,128,128,694,462,w_222_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_222_lq.jpg
468,61,128,128,694,462,w_223_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_223_lq.jpg
112,260,128,128,694,462,w_224_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_224_lq.jpg
448,113,128,128,694,462,w_225_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_225_lq.jpg
454,228,128,128,694,462,w_226_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_226_lq.jpg
179,214,128,128,694,462,w_227_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_227_lq.jpg
185,242,128,128,694,462,w_228_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_228_lq.jpg
160,152,128,128,694,462,w_229_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_229_lq.jpg
37,329,128,128,694,462,w_22_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_22_lq.jpg
56,66,128,128,694,462,w_230_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_230_lq.jpg
67,295,128,128,694,462,w_231_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_231_lq.jpg
402,45,128,128,694,462,w_232_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_232_lq.jpg
222,167,128,128,694,462,w_233_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_233_lq.jpg
346,191,128,128,694,462,w_234_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_234_lq.jpg
250,250,128,128,694,462,w_235_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_235_lq.jpg
151,70,128,128,694,462,w_236_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_236_lq.jpg
79,63,128,128,694,462,w_237_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_237_lq.jpg
433,241,128,128,694,462,w_238_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_238_lq.jpg
462,125,128,128,694,462,w_239_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_239_lq.jpg
190,67,128,128,694,462,w_23_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_23_lq.jpg
97,270,128,128,694,462,w_240_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_240_lq.jpg
100,49,128,128,694,462,w_241_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_241_lq.jpg
182,111,128,128,694,462,w_242_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_242_lq.jpg
456,301,128,128,694,462,w_243_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_243_lq.jpg
443,228,128,128,694,462,w_244_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_244_lq.jpg
237,26,128,128,694,462,w_245_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_245_lq.jpg
125,131,128,128,694,462,w_246_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_246_lq.jpg
141,107,128,128,694,462,w_247_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_247_lq.jpg
32,238,128,128,694,462,w_248_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_248_lq.jpg
326,175,128,128,694,462,w_249_lq.jpg,/Users/LeonhardS/Documents/CSE/courses/CS283_Computer_Vision/Project/Project_cs283/cache/lq/w_249_lq.jpg
